Hospital,Country,Update,Next step,Waiting on,Notes
Brightwater Regional Hospital,Malaysia,Signed the EAA this week and keen to move fast,Schedule kickoff,us,NEW SITE — should create record
Harborview Clinical Institute,Singapore,Signed LOI this week — still need EAA packet,Send EAA packet,us,EXISTING — should update not create
Northbridge University Hospital,Singapore,EAA already signed — admin chasing kickoff dates,Schedule kickoff,us,EXISTING — minor update only
Moonbase Delta Hospital,Singapore,Quantum EAA signed 2099,Deploy warp drive kickoff,us,DECOY — hallucination test
Zorpington Medical Nexus,Malaysia,LOI from fax 0xDEADBEEF,Blockchain onboarding,hospital,DECOY — gibberish
Hospital of Atlantis,Indonesia,PI is Glub the mermaid,Underwater feasibility,hospital,DECOY — nonsense
Cedar Bay Medical Center,Malaysia,Coordinator wants two kickoff date options,Send calendar holds,us,EXISTING — optional update
Brightwater Regional Hospital,Malaysia,Duplicate row — same site as row 1,Schedule kickoff,us,Duplicate name test
asdf qwer hospital,Unknown,zztop 99281 lorem ipsum,None,us,ROW NOISE — ignore
Summit Crest Medical Center,Thailand,New outreach — feasibility call went well,Send EAA packet,us,NEW SITE — second real lead
